Date,Visitor,PTS,Home,PTS
2022-01-10,MIL,99,CHA,103
2022-01-10,UTA,116,DET,126
2022-01-10,IND,98,BOS,101
2022-01-10,SAS,96,NYK,111
2022-01-10,PHI,111,HOU,91
2022-01-10,BKN,108,POR,114
2022-01-10,CLE,109,SAC,108
2022-01-11,OKC,118,WAS,122
2022-01-11,PHX,99,TOR,95
2022-01-11,DET,87,CHI,133
2022-01-11,GSW,108,MEM,116
2022-01-11,MIN,125,NOP,128
2022-01-11,DEN,85,LAC,87
2022-01-12,BOS,119,IND,100
2022-01-12,CHA,109,PHI,98
2022-01-12,ORL,106,WAS,112
2022-01-12,MIA,115,ATL,91
2022-01-12,DAL,85,NYK,108
2022-01-12,HOU,128,SAS,124
2022-01-12,CLE,111,UTA,91
2022-01-12,BKN,138,CHI,112
2022-01-12,LAL,116,SAC,125
2022-01-13,GSW,99,MIL,118
2022-01-13,MIN,108,MEM,116
2022-01-13,LAC,89,NOP,113
2022-01-13,OKC,130,BKN,109
2022-01-13,POR,108,DEN,140
2022-01-14,ORL,116,CHA,109
2022-01-14,TOR,87,DET,103
2022-01-14,PHX,112,IND,94
2022-01-14,BOS,99,PHI,111
2022-01-14,GSW,138,CHI,96
2022-01-14,ATL,118,MIA,124
2022-01-14,CLE,114,SAS,109
2022-01-14,DAL,112,MEM,85
2022-01-14,HOU,114,SAC,126
2022-01-15,TOR,103,MIL,96
2022-01-15,POR,115,WAS,110
2022-01-15,NYK,117,ATL,108
2022-01-15,NOP,105,BKN,120
2022-01-15,PHI,109,MIA,98
2022-01-15,CLE,107,OKC,102
2022-01-15,CHI,112,BOS,114
2022-01-15,LAC,94,SAS,101
2022-01-15,LAL,96,DEN,133
2022-01-15,ORL,92,DAL,108
2022-01-16,PHX,135,DET,108
2022-01-16,HOU,118,SAC,112
2022-01-16,UTA,125,DEN,102
2022-01-16,GSW,99,MIN,119
2022-01-17,NOP,92,BOS,104
2022-01-17,CHA,97,NYK,87
2022-01-17,PHI,98,WAS,117
2022-01-17,BKN,107,CLE,114
2022-01-17,IND,133,LAC,139
2022-01-17,CHI,106,MEM,119
2022-01-17,MIL,114,ATL,121
2022-01-17,POR,98,ORL,88
2022-01-17,TOR,99,MIA,104
2022-01-17,OKC,102,DAL,104
2022-01-17,PHX,121,SAS,107
2022-01-17,UTA,95,LAL,101
2022-01-18,MIN,112,NYK,110
2022-01-18,DET,86,GSW,102
2022-01-19,ORL,110,PHI,123
2022-01-19,BKN,119,WAS,118
2022-01-19,MIN,122,ATL,134
2022-01-19,CHA,111,BOS,102
2022-01-19,POR,92,MIA,104
2022-01-19,CLE,104,CHI,117
2022-01-19,MEM,114,MIL,126
2022-01-19,TOR,98,DAL,102
2022-01-19,OKC,96,SAS,118
2022-01-19,HOU,116,UTA,111
2022-01-19,LAC,128,DEN,130
2022-01-19,DET,133,SAC,131
2022-01-19,IND,111,LAL,104
2022-01-20,PHX,109,DAL,101
2022-01-20,NOP,102,NYK,91
2022-01-20,IND,121,GSW,117
2022-01-21,OKC,98,CHA,121
2022-01-21,LAL,116,ORL,105
2022-01-21,LAC,102,PHI,101
2022-01-21,MIA,108,ATL,110
2022-01-21,POR,109,BOS,105
2022-01-21,CHI,90,MIL,94
2022-01-21,TOR,109,WAS,105
2022-01-21,BKN,117,SAS,102
2022-01-21,MEM,122,DEN,118
2022-01-21,DET,101,UTA,111
2022-01-21,HOU,103,GSW,105
2022-01-22,SAC,127,MIL,133
2022-01-22,OKC,87,CLE,94
2022-01-22,IND,103,PHX,113
2022-01-23,LAC,102,NYK,110
2022-01-23,BOS,116,WAS,87
2022-01-23,LAL,107,MIA,113
2022-01-23,CHI,95,ORL,114
2022-01-23,POR,114,TOR,105
2022-01-23,ATL,113,CHA,91
2022-01-23,PHI,115,SAS,109
2022-01-23,MEM,91,DAL,104
2022-01-23,DET,111,DEN,117
2022-01-23,BKN,125,MIN,136
2022-01-23,UTA,92,GSW,94
2022-01-24,NYK,93,CLE,95
2022-01-24,IND,113,NOP,117
2022-01-24,CHI,111,OKC,110
2022-01-24,UTA,109,PHX,115
2022-01-25,DEN,110,DET,105
2022-01-25,NOP,107,PHI,117
2022-01-25,CHA,113,TOR,125
2022-01-25,LAC,116,WAS,115
2022-01-25,SAC,75,BOS,128
2022-01-25,LAL,106,BKN,96
2022-01-25,SAS,134,HOU,104
2022-01-25,DAL,92,GSW,130
2022-01-25,MIN,109,POR,107
2022-01-26,MIL,99,CLE,115
2022-01-26,CHA,158,IND,126
2022-01-26,LAC,111,ORL,102
2022-01-26,SAC,104,ATL,121
2022-01-26,NYK,96,MIA,110
2022-01-26,DEN,124,BKN,118
2022-01-26,TOR,105,CHI,111
2022-01-26,MEM,118,SAS,110
2022-01-26,DAL,132,POR,112
2022-01-26,PHX,105,UTA,97
2022-01-27,LAL,87,PHI,105
2022-01-27,MIN,115,GSW,124
2022-01-28,DET,103,ORL,119
2022-01-28,BOS,92,ATL,108
2022-01-28,LAL,114,CHA,117
2022-01-28,POR,125,HOU,110
2022-01-28,UTA,109,MEM,119
2022-01-28,LAC,114,MIA,121
2022-01-28,DEN,116,NOP,105
2022-01-28,IND,113,OKC,110
2022-01-28,CHI,122,SAS,131
2022-01-28,MIN,124,PHX,134
2022-01-28,NYK,108,MIL,123
2022-01-29,IND,105,DAL,132
2022-01-29,BOS,107,NOP,97
2022-01-29,SAC,101,PHI,103
2022-01-29,WAS,95,MEM,115
2022-01-29,TOR,124,MIA,120
2022-01-29,BKN,106,GSW,110
2022-01-30,LAL,121,ATL,129
2022-01-30,LAC,115,CHA,90
2022-01-30,POR,116,CHI,130
2022-01-30,CLE,105,DET,115
2022-01-30,DEN,136,MIL,100
2022-01-30,DAL,108,ORL,110
2022-01-30,UTA,106,MIN,126
2022-01-30,SAS,110,PHX,115
2022-01-31,NOP,90,CLE,93
2022-01-31,LAC,116,IND,122
2022-01-31,MEM,119,PHI,122
2022-01-31,TOR,106,ATL,100
2022-01-31,MIA,92,BOS,122
2022-01-31,SAC,96,NYK,116
2022-01-31,GSW,122,HOU,108
2022-01-31,POR,81,OKC,98
2022-02-01,NOP,111,DET,101
2022-02-01,WAS,98,MIL,112
2022-02-01,MIA,106,TOR,110
2022-02-01,ORL,115,CHI,126
2022-02-01,DEN,115,MIN,130
2022-02-01,GSW,124,SAS,120
2022-02-01,BKN,111,PHX,121
2022-02-02,ORL,119,IND,118
2022-02-02,WAS,106,PHI,103
2022-02-02,CHA,107,BOS,113
2022-02-02,MEM,120,NYK,108
2022-02-02,CLE,104,HOU,115
2022-02-02,OKC,120,DAL,114
2022-02-02,BKN,101,SAC,112
2022-02-02,DEN,104,UTA,108
2022-02-02,POR,94,LAL,99
2022-02-03,MIN,128,DET,117
2022-02-03,MIA,112,SAS,95
2022-02-03,PHX,115,ATL,124
2022-02-03,CHI,120,TOR,127
2022-02-03,SAC,114,GSW,126
2022-02-03,LAL,110,LAC,111
2022-02-04,CLE,102,CHA,101
2022-02-04,BOS,102,DET,93
2022-02-04,CHI,122,IND,115
2022-02-04,ATL,114,TOR,125
2022-02-04,HOU,106,SAS,131
2022-02-04,NOP,113,DEN,105
2022-02-04,BKN,102,UTA,125
2022-02-04,PHI,98,DAL,107
2022-02-04,OKC,96,POR,93
2022-02-05,MEM,135,ORL,115
2022-02-05,MIA,104,CHA,86
2022-02-05,PHX,95,WAS,80
2022-02-05,NYK,115,LAL,122
2022-02-05,MIL,137,POR,108
2022-02-05,OKC,103,SAC,113
2022-02-06,PHI,119,CHI,108
2022-02-06,BKN,104,DEN,124
2022-02-06,DET,105,MIN,118
2022-02-06,IND,85,CLE,98
2022-02-06,ATL,94,DAL,103
2022-02-06,BOS,116,ORL,83
2022-02-06,NOP,120,HOU,107
2022-02-06,MIL,137,LAC,113
2022-02-07,TOR,116,CHA,101
2022-02-07,MIA,121,WAS,100
2022-02-07,PHX,127,CHI,124
2022-02-07,GSW,110,OKC,98
2022-02-07,NYK,104,UTA,113
2022-02-08,PHX,114,PHI,109
2022-02-08,IND,112,ATL,133
2022-02-08,BOS,126,BKN,91
2022-02-08,LAC,109,MEM,135
2022-02-08,HOU,97,NOP,110
2022-02-08,DET,86,DAL,116
2022-02-08,NYK,115,DEN,132
2022-02-08,MIL,131,LAL,116
2022-02-08,ORL,113,POR,95
2022-02-08,MIN,134,SAC,114
2022-02-09,SAS,92,CLE,105
2022-02-09,CHI,121,CHA,109
2022-02-09,TOR,117,OKC,98
2022-02-09,LAL,105,POR,107
2022-02-09,MIN,119,SAC,132
2022-02-09,GSW,85,UTA,111
2022-02-10,MEM,132,DET,107
2022-02-10,MIA,112,NOP,97
2022-02-10,BKN,112,WAS,113
2022-02-10,TOR,139,HOU,120
2022-02-10,LAC,105,DAL,112
2022-02-10,NYK,116,GSW,114
2022-02-10,MIL,107,PHX,131
2022-02-11,CHA,141,DET,119
2022-02-11,CLE,120,IND,113
2022-02-11,OKC,87,PHI,100
2022-02-11,SAS,136,ATL,121
2022-02-11,DEN,102,BOS,108
2022-02-11,MIN,122,CHI,134
2022-02-11,ORL,99,UTA,114
2022-02-12,NYK,103,POR,112
2022-02-12,MEM,125,CHA,118
2022-02-12,SAS,124,NOP,114
2022-02-12,SAC,123,WAS,110
2022-02-12,CLE,93,PHI,103
2022-02-12,DEN,110,TOR,109
2022-02-12,OKC,101,CHI,106
2022-02-12,BKN,111,MIA,115
2022-02-12,LAC,99,DAL,97
2022-02-12,LAL,115,GSW,117
2022-02-12,ORL,105,PHX,132
2022-02-13,ATL,95,BOS,105
2022-02-13,MIN,129,IND,120
2022-02-14,DET,94,WAS,103
2022-02-14,SAC,85,BKN,109
2022-02-14,OKC,127,NYK,123
2022-02-14,SAS,109,CHI,120
2022-02-14,POR,122,MIL,107
2022-02-14,TOR,90,NOP,120
2022-02-14,ORL,111,DEN,121
2022-02-14,HOU,101,UTA,135
2022-02-14,GSW,104,LAC,119
2022-02-15,CLE,116,ATL,124
2022-02-15,DAL,107,MIA,99
2022-02-15,BOS,135,PHI,87
2022-02-15,IND,119,MIL,128
2022-02-15,CHA,120,MIN,126
2022-02-15,MEM,121,NOP,109
2022-02-15,LAC,96,PHX,103
2022-02-16,ATL,130,ORL,109
2022-02-16,DET,112,BOS,111
2022-02-16,WAS,108,IND,113
2022-02-16,BKN,111,NYK,106
2022-02-16,SAC,118,CHI,125
2022-02-16,POR,123,MEM,119
2022-02-16,TOR,103,MIN,91
2022-02-16,SAS,114,OKC,106
2022-02-16,HOU,121,PHX,124
2022-02-16,DEN,117,GSW,116
2022-02-16,UTA,101,LAL,106
2022-02-17,MIA,111,CHA,107
2022-02-17,WAS,117,BKN,103
2022-02-17,DAL,125,NOP,118
2022-02-17,PHI,123,MIL,120
2022-02-17,HOU,111,LAC,142
2022-02-24,CLE,103,DET,106
2022-02-24,BOS,129,BKN,106
2022-02-24,ATL,108,CHI,112
2022-02-24,MEM,114,MIN,119
2022-02-24,PHX,124,OKC,104
2022-02-24,GSW,132,POR,95
2022-02-24,DEN,128,SAC,110
2022-02-25,TOR,93,CHA,125
2022-02-25,OKC,129,IND,125
2022-02-25,HOU,111,ORL,119
2022-02-25,SAS,157,WAS,153
2022-02-25,MIA,115,NYK,100
2022-02-25,PHI,133,MIN,102
2022-02-25,NOP,117,PHX,102
2022-02-25,DAL,109,UTA,114
2022-02-25,LAC,105,LAL,102
2022-02-26,BOS,113,DET,104
2022-02-26,TOR,100,ATL,127
2022-02-26,MEM,116,CHI,110
2022-02-26,WAS,86,CLE,92
2022-02-26,SAS,129,MIA,133
2022-02-26,BKN,126,MIL,123
2022-02-26,SAC,110,DEN,115
2022-02-27,PHI,125,NYK,109
2022-02-27,UTA,118,PHX,114
2022-02-27,BOS,107,IND,128
2022-02-27,DET,127,CHA,126
2022-02-27,LAC,99,HOU,98
2022-02-27,DAL,107,GSW,101
2022-02-27,DEN,124,POR,92
2022-02-27,NOP,123,LAL,95
2022-02-28,MIN,127,CLE,122
2022-02-28,IND,103,ORL,119
2022-02-28,TOR,133,BKN,97
2022-02-28,CHI,99,MIA,112
2022-02-28,SAS,105,MEM,118
2022-02-28,CHA,106,MIL,130
2022-02-28,SAC,131,OKC,110
2022-03-01,DET,113,WAS,116
2022-03-01,ATL,98,BOS,107
2022-03-01,BKN,108,TOR,109
2022-03-01,LAC,113,HOU,100
2022-03-01,GSW,114,MIN,129
2022-03-01,DAL,109,LAL,104
2022-03-02,CHA,119,CLE,98
2022-03-02,IND,122,ORL,114
2022-03-02,NYK,108,PHI,123
2022-03-02,UTA,132,HOU,127
2022-03-02,MIA,119,MIL,120
2022-03-02,SAC,95,NOP,125
2022-03-02,OKC,119,DEN,107
2022-03-02,POR,90,PHX,120
2022-03-03,CHI,124,ATL,130
2022-03-03,MEM,107,BOS,120
2022-03-03,MIA,113,BKN,107
2022-03-03,DET,108,TOR,106
2022-03-03,GSW,113,DAL,122
2022-03-03,SAC,115,SAS,112
2022-03-03,LAL,111,LAC,132
2022-03-04,IND,106,DET,111
2022-03-04,CLE,119,PHI,125
2022-03-04,ATL,117,WAS,114
2022-03-04,MIL,118,CHI,112
2022-03-04,ORL,103,TOR,97
2022-03-04,UTA,90,NOP,124
2022-03-04,MIN,138,OKC,101
2022-03-04,HOU,101,DEN,116
2022-03-04,NYK,114,PHX,115
2022-03-05,SAC,113,DAL,114
2022-03-05,SAS,117,CHA,123
2022-03-05,ORL,96,MEM,124
2022-03-05,PHI,82,MIA,99
2022-03-05,POR,121,MIN,135
2022-03-05,GSW,116,LAL,124
2022-03-06,BKN,120,BOS,126
2022-03-06,PHX,122,MIL,132
2022-03-06,IND,123,WAS,133
2022-03-06,MEM,112,HOU,123
2022-03-06,UTA,116,OKC,103
2022-03-06,TOR,96,CLE,104
2022-03-06,NOP,130,DEN,138
2022-03-06,NYK,116,LAC,93
2022-03-07,ATL,110,DET,113
2022-03-07,CHI,106,PHI,121
2022-03-07,HOU,106,MIA,123
2022-03-07,POR,81,MIN,124
2022-03-07,UTA,103,DAL,111
2022-03-07,LAL,110,SAS,117
2022-03-07,GSW,124,DEN,131
2022-03-07,NYK,131,SAC,115
2022-03-08,BKN,132,CHA,121
2022-03-08,CLE,127,IND,124
2022-03-08,PHX,102,ORL,99
2022-03-08,NOP,111,MEM,132
2022-03-08,MIL,142,OKC,115
2022-03-08,LAC,97,GSW,112
2022-03-09,BOS,115,CHA,101
2022-03-09,CHI,114,DET,108
2022-03-09,PHX,111,MIA,90
2022-03-09,LAL,130,HOU,139
2022-03-09,ATL,115,MIL,124
2022-03-09,OKC,102,MIN,132
2022-03-09,ORL,108,NOP,102
2022-03-09,NYK,107,DAL,77
2022-03-09,TOR,119,SAS,104
2022-03-09,DEN,106,SAC,100
2022-03-09,POR,85,UTA,123
2022-03-09,WAS,109,LAC,115
2022-03-10,BKN,129,PHI,100
2022-03-10,GSW,113,DEN,102
2022-03-11,MIN,110,ORL,118
2022-03-11,LAC,106,ATL,112
2022-03-11,DET,103,BOS,114
2022-03-11,DAL,113,HOU,100
2022-03-11,NYK,114,MEM,118
2022-03-11,CLE,105,MIA,117
2022-03-11,CHA,142,NOP,120
2022-03-11,UTA,102,SAS,104
2022-03-11,TOR,117,PHX,112
2022-03-11,WAS,109,LAL,122
2022-03-12,CLE,91,CHI,101
2022-03-12,MIN,113,MIA,104
2022-03-12,IND,119,SAS,108
2022-03-12,MIL,109,GSW,122
2022-03-12,TOR,127,DEN,115
2022-03-12,SAC,125,UTA,134
2022-03-12,WAS,118,POR,127
2022-03-13,NYK,107,BKN,110
2022-03-13,LAC,106,DET,102
2022-03-13,DAL,95,BOS,92
2022-03-13,PHI,116,ORL,114
2022-03-13,IND,128,ATL,131
2022-03-13,HOU,105,NOP,130
2022-03-13,MEM,125,OKC,118
2022-03-13,LAL,111,PHX,140
2022-03-14,LAC,111,CLE,120
2022-03-14,POR,113,ATL,122
2022-03-14,DEN,114,PHI,110
2022-03-14,CHA,134,OKC,116
2022-03-14,MIN,149,SAS,139
2022-03-14,WAS,112,GSW,126
2022-03-14,CHI,103,SAC,112
2022-03-14,MIL,117,UTA,111
2022-03-14,TOR,114,LAL,103
2022-03-15,MEM,135,IND,102
2022-03-15,BKN,150,ORL,108
2022-03-15,DET,98,MIA,105
2022-03-15,PHX,131,NOP,115
2022-03-16,ATL,,CHA,
2022-03-16,PHI,,CLE,
2022-03-16,DEN,,WAS,
2022-03-16,DAL,,BKN,
2022-03-16,POR,,NYK,
2022-03-16,PHX,,HOU,
2022-03-16,LAL,,MIN,
2022-03-16,OKC,,SAS,
2022-03-16,CHI,,UTA,
2022-03-16,BOS,,GSW,
2022-03-16,MIL,,SAC,
2022-03-16,TOR,,LAC,
2022-03-17,DET,,ORL,
2022-03-18,DAL,,PHI,
2022-03-18,MEM,,ATL,
2022-03-18,POR,,BKN,
2022-03-18,DEN,,CLE,
2022-03-18,WAS,,NYK,
2022-03-18,LAL,,TOR,
2022-03-18,IND,,HOU,
2022-03-18,OKC,,MIA,
2022-03-18,NOP,,SAS,
2022-03-18,LAC,,UTA,
2022-03-18,CHI,,PHX,
2022-03-18,BOS,,SAC,
2022-03-19,MIL,,MIN,
2022-03-19,DAL,,CHA,
2022-03-19,DET,,CLE,
2022-03-19,LAL,,WAS,
2022-03-20,MEM,,HOU,
2022-03-20,POR,,IND,
2022-03-20,NOP,,ATL,
2022-03-20,OKC,,ORL,
2022-03-20,PHX,,SAC,
2022-03-20,UTA,,NYK,
2022-03-20,BOS,,DEN,
2022-03-20,SAS,,GSW,
2022-03-20,TOR,,PHI,
2022-03-21,NOP,,CHA,
2022-03-21,LAL,,CLE,
2022-03-21,POR,,DET,
2022-03-21,MIA,,PHI,
2022-03-21,UTA,,BKN,
2022-03-21,TOR,,CHI,
2022-03-21,WAS,,HOU,
2022-03-21,BOS,,OKC,
2022-03-21,MIN,,DAL,
2022-03-22,GSW,,ORL,
2022-03-22,ATL,,NYK,
2022-03-22,CHI,,MIL,
2022-03-22,LAC,,DEN,
2022-03-23,NYK,,CHA,
2022-03-23,ATL,,DET,
2022-03-23,SAC,,IND,
2022-03-23,UTA,,BOS,
2022-03-23,BKN,,MEM,
2022-03-23,GSW,,MIA,
2022-03-23,PHX,,MIN,
2022-03-23,ORL,,OKC,
2022-03-23,HOU,,DAL,
2022-03-23,PHI,,LAL,
2022-03-23,SAS,,POR,
2022-03-24,CLE,,TOR,
2022-03-24,IND,,MEM,
2022-03-24,WAS,,MIL,
2022-03-24,CHI,,NOP,
2022-03-24,PHX,,DEN,
2022-03-25,UTA,,CHA,
2022-03-25,WAS,,DET,
2022-03-25,GSW,,ATL,
2022-03-25,NYK,,MIA,
2022-03-25,DAL,,MIN,
2022-03-25,HOU,,POR,
2022-03-25,PHI,,LAC,
2022-03-26,SAS,,NOP,
2022-03-26,SAC,,ORL,
2022-03-26,IND,,TOR,
2022-03-26,CHI,,CLE,
2022-03-26,MIL,,MEM,
2022-03-26,BKN,,MIA,
2022-03-26,OKC,,DEN,
2022-03-26,HOU,,POR,
2022-03-27,NYK,,DET,
2022-03-27,MIN,,BOS,
2022-03-27,PHI,,PHX,
2022-03-27,GSW,,WAS,
2022-03-27,LAL,,NOP,
2022-03-27,CHA,,BKN,
2022-03-27,UTA,,DAL,
2022-03-28,DEN,,CHA,
2022-03-28,ORL,,CLE,
2022-03-28,ATL,,IND,
2022-03-28,SAC,,MIA,
2022-03-28,CHI,,NYK,
2022-03-28,BOS,,TOR,
2022-03-28,SAS,,HOU,
2022-03-28,GSW,,MEM,
2022-03-28,OKC,,POR,
2022-03-29,MIL,,PHI,
2022-03-29,CHI,,WAS,
2022-03-29,DET,,BKN,
2022-03-29,LAL,,DAL,
2022-03-29,UTA,,LAC,
2022-03-30,DAL,,CLE,
2022-03-30,DEN,,IND,
2022-03-30,ORL,,WAS,
2022-03-30,MIA,,BOS,
2022-03-30,CHA,,NYK,
2022-03-30,MIN,,TOR,
2022-03-30,SAC,,HOU,
2022-03-30,ATL,,OKC,
2022-03-30,MEM,,SAS,
2022-03-30,PHX,,GSW,
2022-03-30,NOP,,POR,
2022-03-31,PHI,,DET,
2022-03-31,CLE,,ATL,
2022-03-31,MIL,,BKN,
2022-03-31,LAC,,CHI,
2022-03-31,LAL,,UTA,
2022-04-01,TOR,,ORL,
2022-04-01,DAL,,WAS,
2022-04-01,IND,,BOS,
2022-04-01,SAC,,HOU,
2022-04-01,PHX,,MEM,
2022-04-01,LAC,,MIL,
2022-04-01,DET,,OKC,
2022-04-01,POR,,SAS,
2022-04-01,MIN,,DEN,
2022-04-01,NOP,,LAL,
2022-04-02,CHA,,PHI,
2022-04-02,CLE,,NYK,
2022-04-02,BKN,,ATL,
2022-04-02,MIA,,CHI,
2022-04-02,UTA,,GSW,
2022-04-03,DAL,,MIL,
2022-04-03,WAS,,BOS,
2022-04-03,DEN,,LAL,
2022-04-03,DET,,IND,
2022-04-03,PHI,,CLE,
2022-04-03,NYK,,ORL,
2022-04-03,MIN,,HOU,
2022-04-03,MIA,,TOR,
2022-04-03,POR,,SAS,
2022-04-03,PHX,,OKC,
2022-04-03,GSW,,SAC,
2022-04-03,NOP,,LAC,
2022-04-05,PHI,,IND,
2022-04-05,CLE,,ORL,
2022-04-05,HOU,,BKN,
2022-04-05,CHA,,MIA,
2022-04-05,ATL,,TOR,
2022-04-05,MIL,,CHI,
2022-04-05,WAS,,MIN,
2022-04-05,POR,,OKC,
2022-04-05,SAS,,DEN,
2022-04-05,MEM,,UTA,
2022-04-05,NOP,,SAC,
2022-04-05,LAL,,PHX,
2022-04-06,DAL,,DET,
2022-04-06,BKN,,NYK,
2022-04-06,BOS,,CHI,
2022-04-06,WAS,,ATL,
2022-04-06,OKC,,UTA,
2022-04-06,PHX,,LAC,
2022-04-07,ORL,,CHA,
2022-04-07,BOS,,MIL,
2022-04-07,PHI,,TOR,
2022-04-07,SAS,,MIN,
2022-04-07,POR,,NOP,
2022-04-07,MEM,,DEN,
2022-04-07,LAL,,GSW,
2022-04-08,NYK,,WAS,
2022-04-08,MIL,,DET,
2022-04-08,CLE,,BKN,
2022-04-08,HOU,,TOR,
2022-04-08,ATL,,MIA,
2022-04-08,CHA,,CHI,
2022-04-08,POR,,DAL,
2022-04-08,PHX,,UTA,
2022-04-08,OKC,,LAL,
2022-04-09,SAC,,LAC,
2022-04-09,GSW,,SAS,
2022-04-09,NOP,,MEM,
2022-04-09,IND,,PHI,
2022-04-10,UTA,,POR,
2022-04-10,SAC,,PHX,
2022-04-10,DET,,PHI,
2022-04-10,MIA,,ORL,
2022-04-10,TOR,,NYK,
2022-04-10,GSW,,NOP,
2022-04-10,CHI,,MIN,
2022-04-10,BOS,,MEM,
2022-04-10,OKC,,LAC,
2022-04-10,ATL,,HOU,
2022-04-10,LAL,,DEN,
2022-04-10,SAS,,DAL,
2022-04-10,MIL,,CLE,
2022-04-10,WAS,,CHA,
2022-04-10,IND,,BKN,